IES_id;IES_nombre;identificacion;nombres;apellidos;puntaje_postulacion;prioridad;segmento;nombre_carrera;campus;tipo_cupo;modalidad;nivel;jornada;acepta_estado;feha_acepta_cupo
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450000;Ana;Vera;852;2;1;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450001;Clara;Perez;662;3;1;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450002;Noelia;Delgado;752;2;2;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450003;Jorge;Solórzano;677;1;2;Tecnologías de la información;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450004;Andrea;Vera;668;3;2;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450005;Clara;Vera;770;2;1;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450006;Jorge;Solórzano;865;2;3;Software;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450007;Clara;Pinargote;847;2;1;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450008;Noelia;Perez;887;3;1;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450009;Andrea;Cedeño;809;2;5;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450010;Luis;Vera;759;1;2;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450011;Jorge;Solórzano;842;1;2;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450012;Mayra;Cedeño;778;3;2;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450013;Juan;Arteaga;938;3;4;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450014;Mayra;Solórzano;681;3;1;Software;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450015;Juan;Vera;817;3;1;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450016;Michelle;Pinargote;915;1;4;Software;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450017;Pedro;Zambrano;788;2;5;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450018;Mayra;Arteaga;883;1;1;Software;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450019;Mayra;Mendoza;704;3;1;Tecnologías de la información;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450020;Karla;Vera;891;1;3;Tecnologías de la información;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450021;Karla;Zambrano;846;2;3;Software;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450022;Juan;Mendoza;901;1;4;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450023;Paula;Vera;790;1;5;Tecnologías de la información;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450024;Jorge;Delgado;674;3;1;Software;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450025;Jessica;Cedeño;897;1;4;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450026;Juan;Delgado;879;2;1;Tecnologías de la información;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450027;Paula;Solórzano;762;1;3;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450028;Luis;Gomez;658;2;1;Software;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450029;Noelia;Lopez;780;3;1;Tecnologías de la información;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450030;Maria;Mendoza;801;3;1;Tecnologías de la información;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450031;Mayra;Delgado;703;2;2;Software;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450032;Clara;Mendoza;653;1;2;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450033;Mayra;Mendoza;881;1;2;Software;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450034;Andrea;Vera;833;1;2;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450035;Maria;Perez;791;3;1;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450036;Mayra;Arteaga;960;1;4;Tecnologías de la información;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450037;Michelle;Lopez;852;1;2;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450038;Clara;Mendoza;698;1;1;Software;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450039;Pedro;Vera;661;3;3;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450040;Luis;Gomez;960;1;4;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450041;Juan;Cedeño;823;2;1;Software;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450042;Ana;Mendoza;910;2;4;Software;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450043;Michelle;Mendoza;814;3;1;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450044;Jorge;Delgado;907;3;4;Software;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450045;Carlos;Delgado;972;3;4;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450046;Mayra;Delgado;798;2;1;Software;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450047;Michelle;Lopez;980;2;4;Software;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450048;Jorge;Pinargote;669;2;3;Software;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450049;Maria;Gomez;927;2;4;Software;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450050;Juan;Zambrano;826;3;2;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450051;Andrea;Perez;721;2;2;Tecnologías de la información;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450052;Andrea;Ponce;707;1;3;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450053;Mayra;Lopez;667;3;2;Tecnologías de la información;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450054;Ana;Ponce;824;2;1;Software;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450055;Carlos;Delgado;811;2;3;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450056;Luis;Mendoza;779;1;1;Tecnologías de la información;Carmen;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450057;Luis;Mendoza;746;2;1;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450058;Andrea;Vera;836;1;2;Tecnologías de la información;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450059;Clara;Vera;751;1;1;Tecnologías de la información;Chone;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450060;Carlos;Ponce;723;1;2;Software;Manta;1;Presencial;1;Matutina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450061;Noelia;Arteaga;663;2;1;Tecnologías de la información;Manta;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450062;Karla;Lopez;746;1;1;Tecnologías de la información;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450063;Paula;Lopez;868;3;1;Software;Chone;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450064;Karla;Ponce;796;1;2;Tecnologías de la información;Carmen;1;Presencial;1;Vespertina;0;
102;UNIVERSIDAD LAYCA ELOY ALFARO DE MANABÍ;223450065;Karla;Ponce;700;3;1;Tecnologías de la información;Chone;1;Presencial;1;Vespertina;0;
